"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Indraprastha Gas Ltd","IGL","532514","Utilities","1422195089.4","1426890000","0.39","6904530","","","/mutual-fund/holding-history/6337/596/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","1377716833","1404248000","0.38","226766","","","/mutual-fund/holding-history/6337/1182/"
"Restaurant Brands Asia Ltd Ordinary Shares","RBA","543248","Consumer Cyclical","1140138342","1226101000","0.33","15081195","","","/mutual-fund/holding-history/6337/357598/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","1140113137.8","1203766000","0.33","593778","","","/mutual-fund/holding-history/6337/318/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","1276973418.6","1195155000","0.32","3588516","3588516","New","/mutual-fund/holding-history/6337/2755533/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","1007543000","988958000","0.27","590000","","","/mutual-fund/holding-history/6337/1357/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","960741947","931120000","0.25","567479","","","/mutual-fund/holding-history/6337/436155/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","736738709.9","756687000","0.21","1705019","","","/mutual-fund/holding-history/6337/747240/"
"Apar Industries Ltd","APARINDS","532259","Industrials","682052420","706340000","0.19","87052","","","/mutual-fund/holding-history/6337/88/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","672919308.75","653948000","0.18","800475","","","/mutual-fund/holding-history/6337/625/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","626873170","572271000","0.16","329725","","","/mutual-fund/holding-history/6337/154217/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","538136580.8","528393000","0.14","210448","","","/mutual-fund/holding-history/6337/49/"
"Mahindra &Mah Fin","","","","","70370000","0.02","1063788","1063788","New",""
